"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.780418917E0,3.878233024E0,-6.244685984E-1,3.020531638E-1,3.939782803E0
1.790421917E0,4.187977579E0,-1.596400970E-1,-1.230081096E0,4.367807307E0
1.800424917E0,4.136161308E0,1.982445842E-1,-1.984156737E0,4.591732706E0
1.810427917E0,4.756098315E0,1.646219248E-1,-3.653486520E-1,4.772949947E0
1.820430917E0,5.371599038E0,6.137535757E-1,1.643039532E0,5.650694522E0
1.830433917E0,6.105190129E0,1.919015247E0,1.362778977E0,6.543174503E0
1.840436917E0,6.421185358E0,1.452819082E0,-7.435846587E-2,6.583907188E0
1.850440917E0,5.370953506E0,-4.475985110E-1,-7.214551950E-1,5.437645040E0
1.860443917E0,3.625529228E0,-1.537181540E0,-3.746018708E-1,3.955719382E0
1.870446917E0,2.254861187E0,-1.410137916E-1,4.811334622E-1,2.309929279E0
1.880449917E0,1.442638494E0,2.903254253E0,1.237830995E0,3.470204123E0
1.890452917E0,1.213720002E0,5.027292176E0,1.144321153E0,5.296815437E0
1.900455917E0,1.093690113E0,5.505478642E0,9.345955610E-2,5.613838956E0
1.910458917E0,2.249116006E0,5.817455664E0,3.044247580E-1,6.244516606E0
1.920461917E0,1.386739697E0,3.645327315E0,1.673500017E0,4.244061796E0
1.930464917E0,-7.578544047E-1,1.663579631E-1,1.469105331E0,1.661411672E0
1.940467917E0,-1.291371903E0,-2.062768459E0,-4.187952180E-2,2.434010887E0
1.950470917E0,-2.076745643E0,-3.519968274E0,-1.067204565E0,4.223976172E0
1.960473917E0,-2.144897280E0,-2.918187457E0,7.039726049E-1,3.689441666E0
1.970476917E0,-2.219993948E0,-2.133063685E0,2.999158530E0,4.298056038E0
1.980479917E0,-1.499665365E0,-1.308472377E0,3.575585820E0,4.092176698E0
1.990482917E0,-4.170738526E-1,3.392893660E-1,3.812127328E0,3.849854885E0
2.000485917E0,3.397890837E-1,6.168543541E-1,1.933105867E0,2.057392575E0
2.010488917E0,1.850936992E0,1.438795704E0,3.041970089E0,3.840531584E0
2.020491917E0,2.995385322E0,1.951450337E0,4.736111362E0,5.933906174E0
2.030494917E0,3.112607085E0,1.218674347E0,4.978510026E0,5.996586705E0
2.040498917E0,2.816526012E0,-2.845032942E-1,4.902941780E0,5.661501479E0
2.050501917E0,2.619159972E0,-1.483218756E0,4.621859692E0,5.515571035E0
2.060504917E0,2.178635130E0,-2.551562943E0,3.575364795E0,4.903076371E0
2.070507917E0,1.657240226E0,-2.684940856E0,2.045575891E0,3.760283671E0
2.080510917E0,5.948894347E-1,-3.221991241E0,-1.321729769E0,3.533000223E0
2.090513917E0,-6.969001052E-1,-4.684377537E0,-5.678715854E0,7.394381409E0
