"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.826062792E0,2.526794430E0,1.157407222E0,-3.955589056E0,4.834352733E0
1.836066792E0,2.695802643E0,1.306936314E0,-4.962434860E0,5.796653704E0
1.846069792E0,2.874964254E0,1.484402817E0,-5.226858231E0,6.147269163E0
1.856072792E0,2.894124703E0,1.641987033E0,-4.481083589E0,5.581414637E0
1.866075792E0,2.562617396E0,1.719766695E0,-3.682457135E0,4.804695199E0
1.876079792E0,2.121852526E0,1.852732379E0,-3.467187505E0,4.467243513E0
1.886082792E0,1.137960040E0,1.676855734E0,-3.497611445E0,4.042286980E0
1.896085792E0,-2.548063092E-1,1.359608617E0,-2.230718034E0,2.624798048E0
1.906089792E0,-1.697970614E0,7.708255756E-1,4.967773953E-1,1.929783422E0
1.916092792E0,-1.850554584E0,-2.902475989E-1,3.456013184E0,3.931007894E0
1.926095792E0,-1.831964970E0,-1.734792286E0,4.622512241E0,5.266233886E0
1.936099792E0,-2.591635666E0,-3.646524240E0,3.829079868E0,5.888596360E0
1.946103667E0,-4.560204603E0,-5.782285831E0,5.600591791E-1,7.385388395E0
1.956106667E0,-6.869328829E0,-8.050008554E0,-3.351859070E0,1.110068806E1
1.966110667E0,-6.735647446E0,-9.073123358E0,-1.869752455E0,1.145366702E1
1.976113667E0,-6.256956950E0,-7.342894825E0,3.669896438E0,1.032161589E1
1.986116667E0,-6.175358471E0,-4.289933140E0,7.575122842E0,1.067338113E1
1.996119667E0,-5.718091589E0,-1.856991491E0,8.811826494E0,1.066739307E1
2.006123667E0,-5.262426260E0,2.203698635E-2,8.333849359E0,9.856300569E0
2.016126667E0,-5.205397196E0,1.217903684E0,7.540182804E0,9.243040954E0
2.026129667E0,-4.966951250E0,1.790527360E0,6.960909090E0,8.736752732E0
2.036133667E0,-4.612896495E0,1.915101705E0,6.562549982E0,8.247029215E0
2.046136667E0,-3.993821368E0,1.615993820E0,6.378946241E0,7.697597047E0
2.056139667E0,-3.313346384E0,1.030050187E0,6.355786589E0,7.241221639E0
2.066143667E0,-2.744171688E0,4.857556862E-1,6.586081517E0,7.151426892E0
2.076146667E0,-2.081112197E0,-8.053370118E-3,6.888084358E0,7.195609700E0
2.086149667E0,-1.888487665E0,-8.290387005E-1,6.966424184E0,7.265311882E0
2.096152667E0,-1.902550364E0,-1.747776028E0,6.698138727E0,7.179100315E0
2.106156667E0,-1.834425332E0,-2.484450940E0,6.269480517E0,6.988848169E0
2.116159667E0,-1.561413278E0,-2.796391709E0,5.879264241E0,6.695040406E0
2.126162667E0,-1.177926856E0,-2.946572181E0,5.795414000E0,6.607315848E0
2.136166667E0,-8.212712592E-1,-2.568789425E0,5.166258273E0,5.827811779E0
2.146169667E0,-5.113296533E-1,-1.973589649E0,4.485059988E0,4.926690290E0
2.156172667E0,-2.884066030E-1,-1.387381722E0,3.713319908E0,3.974512694E0
2.166176667E0,-1.967880428E-1,-6.708019352E-1,2.331356655E0,2.433911384E0
2.176179667E0,-6.139810324E-2,2.069586897E-1,1.207217167E0,1.226366550E0
2.186182667E0,1.243270075E-1,1.184458196E0,4.949878550E-1,1.289733073E0
2.196186667E0,2.750062466E-1,2.108339319E0,7.097427835E-1,2.241530267E0
2.206189667E0,6.698432842E-1,3.255423866E0,1.474634312E0,3.636072184E0
2.216192667E0,1.213998329E0,4.301676103E0,1.970736647E0,4.884875860E0
2.226195667E0,1.916896508E0,4.673300571E0,2.286502664E0,5.544576168E0
2.236199667E0,2.556376371E0,4.581302819E0,2.214145271E0,5.694368705E0
2.246202667E0,3.243385618E0,4.075522174E0,2.342774075E0,5.711218926E0
2.256205667E0,3.869345257E0,3.015580435E0,2.178395248E0,5.367584553E0
2.266209667E0,3.717523764E0,8.556113720E-1,1.678493393E0,4.167660474E0
2.276212667E0,3.593369249E0,-1.069336460E0,1.637135013E0,4.090964932E0
2.286215667E0,3.817620495E0,-2.191975552E0,1.713103209E0,4.723738527E0
2.296219667E0,3.753110796E0,-2.814192388E0,1.397461152E0,4.894733610E0
2.306222667E0,3.733690146E0,-3.101937379E0,1.461070088E0,5.069238938E0
2.316225667E0,4.256648449E0,-2.514240165E0,1.284412839E0,5.107854341E0
2.326228667E0,4.711548963E0,-1.581609854E0,6.437734732E-1,5.011449655E0
2.336232667E0,4.944956363E0,-4.024088895E-1,6.995111793E-2,4.961795996E0
2.346235667E0,5.087768759E0,8.913700193E-1,-3.545199010E-1,5.177414008E0
2.356238667E0,5.053967174E0,1.953301565E0,-7.364304990E-1,5.468116777E0
2.366242667E0,4.768357587E0,2.711560889E0,-9.554242203E-1,5.568000716E0
2.376245667E0,4.531929807E0,3.351265578E0,-1.038624252E0,5.731326992E0
2.386248667E0,4.250301297E0,3.610400142E0,-1.444610760E0,5.760811622E0
2.396252667E0,3.731493055E0,3.425279049E0,-1.892170095E0,5.407114262E0
2.406255667E0,2.974776810E0,2.653353027E0,-2.333503022E0,4.618962623E0
2.416258667E0,2.385483600E0,2.248574846E0,-2.785747146E0,4.301977220E0
2.426261667E0,2.588799766E0,2.429127510E0,-3.279146897E0,4.832737222E0
2.436265667E0,3.203236297E0,2.889741338E0,-3.495118192E0,5.552222884E0
2.446268667E0,3.928589246E0,3.264660128E0,-3.340828298E0,6.103519716E0
2.456271667E0,4.640926585E0,3.597323429E0,-2.938924608E0,6.566293724E0
2.466275667E0,4.895604694E0,3.679469208E0,-2.609080249E0,6.656781408E0
2.476278667E0,4.633463199E0,3.479126058E0,-2.611290497E0,6.355480894E0
2.486281667E0,4.142696157E0,2.877162808E0,-2.522143847E0,5.639255877E0
2.496285667E0,3.934901900E0,2.132498844E0,-2.404963891E0,5.080832176E0
2.506288667E0,3.881119795E0,1.360014414E0,-2.265037681E0,4.695010731E0
2.516291667E0,3.992204905E0,5.156086457E-1,-1.575487819E0,4.322697555E0
2.526294667E0,4.048287890E0,-5.921241403E-1,-5.954275247E-1,4.134462453E0
2.536298667E0,4.295048284E0,-1.738427500E0,-1.527335121E0,4.878762395E0
2.546301667E0,5.015011269E0,-2.691314321E0,-3.749481429E0,6.815579344E0
2.556304667E0,5.743876641E0,-3.062554627E0,-5.999384762E0,8.852343036E0
2.566308667E0,5.871342434E0,-3.003905885E0,-8.088821202E0,1.043672080E1
2.576311667E0,4.145930251E0,-3.231968345E0,-1.177131400E1,1.289178771E1
2.586314667E0,4.699480310E-1,-4.134761485E0,-1.659072831E1,1.710465929E1
2.596318667E0,6.129636168E-3,-3.795875577E0,-1.347049967E1,1.399510880E1
2.606321667E0,1.756050130E0,-2.502787224E0,-6.913120966E0,7.559027546E0
2.616324667E0,2.737029314E0,-1.835372581E0,-3.177400082E0,4.577749803E0
2.626327667E0,2.301133421E0,-2.460620613E0,-1.721441630E0,3.783282980E0
2.636331667E0,1.533711802E0,-3.492947706E0,-1.006572447E0,3.945395247E0
2.646334667E0,1.528243778E0,-4.187843093E0,-1.556331756E0,4.721835168E0
2.656337667E0,2.129117399E0,-4.564348817E0,-3.137272103E0,5.933708560E0
2.666341667E0,2.621191294E0,-5.163969088E0,-6.505026829E0,8.709339504E0
2.676344667E0,2.601568331E0,-6.260748285E0,-1.192427249E1,1.371690203E1
2.686347667E0,2.847319788E0,-6.476880671E0,-1.127391593E1,1.331008616E1
2.696351667E0,2.663489468E0,-6.109413573E0,-5.489876516E0,8.634689023E0
2.706354667E0,1.716810343E0,-5.413828214E0,-1.309484530E0,5.828526694E0
2.716357667E0,9.286673614E-1,-4.347029446E0,8.278791976E-1,4.521556374E0
2.726360667E0,2.639655340E-1,-3.995955602E0,1.487730906E0,4.272081720E0
2.736364667E0,-3.123623532E-1,-4.504073380E0,2.166665295E0,5.007862393E0
2.746367667E0,-5.050339562E-1,-5.291985104E0,2.808363883E0,6.012243620E0
2.756370667E0,-6.393602872E-1,-5.959777477E0,3.009568913E0,6.707103264E0
2.766374667E0,-7.343178999E-1,-6.717953771E0,3.248870307E0,7.498352080E0
2.776377667E0,-7.999833012E-1,-7.143745676E0,3.005250744E0,7.791316166E0
2.786380667E0,-9.822147006E-1,-7.057909135E0,2.507217075E0,7.554135592E0
2.796384667E0,-1.255807090E0,-6.810066129E0,2.644656463E0,7.412709352E0
2.806387667E0,-1.624199218E0,-6.479538231E0,3.394378853E0,7.492946455E0
2.816390667E0,-2.445249453E0,-5.755937108E0,1.936962690E0,6.546898605E0
2.826393667E0,-3.056723784E0,-4.259287882E0,-1.739637873E0,5.523715551E0
2.836397667E0,-3.337518189E0,-2.437086155E0,-4.728357954E0,6.279791838E0
2.846400667E0,-3.831665799E0,-1.295947641E0,-4.367332149E0,5.952708054E0
2.856403667E0,-4.122255460E0,-4.929863530E-1,-1.295305617E0,4.349004744E0
2.866407667E0,-3.997909157E0,1.354125683E0,5.003219190E0,6.545925164E0
2.876410667E0,-4.808830844E0,2.285185432E-1,2.512997632E0,5.430675088E0
2.886413667E0,-4.491745110E0,7.992997617E-1,5.734569043E0,7.328024041E0
2.896417667E0,-4.518073953E0,1.299527891E0,7.428041979E0,8.790766328E0
2.906420667E0,-4.837062955E0,8.098481387E-1,5.543204877E0,7.401361520E0
2.916423667E0,-4.367810451E0,1.715987055E0,5.539836881E0,7.260314895E0
2.926426667E0,-3.730878512E0,1.933137442E0,4.625790775E0,6.249353177E0
2.936430667E0,-3.366950149E0,1.825377350E0,3.627295379E0,5.275000241E0
2.946433042E0,-3.345916545E0,1.596775777E0,2.760992374E0,4.622545759E0
2.956436042E0,-3.566496908E0,1.575860871E0,2.381840200E0,4.569069973E0
2.966440042E0,-3.999568596E0,1.592841185E0,2.817764160E0,5.145239242E0
2.976443042E0,-4.320470808E0,1.780731520E0,3.700613909E0,5.960873766E0
2.986446042E0,-4.524466714E0,2.171382244E0,4.614074416E0,6.817285575E0
2.996450042E0,-4.650130395E0,2.557160482E0,5.191163903E0,7.423675983E0
3.006453042E0,-4.708710725E0,2.958037401E0,5.283551080E0,7.670583679E0
3.016456042E0,-4.556780766E0,3.526869158E0,5.303695908E0,7.831490745E0
3.026459042E0,-4.307633246E0,4.100733029E0,5.445373943E0,8.063734429E0
3.036463042E0,-4.020474731E0,4.530030339E0,5.302768539E0,8.050139509E0
3.046466042E0,-3.861592433E0,4.676119514E0,5.025505267E0,7.876147093E0
3.056469042E0,-3.698829923E0,4.600196927E0,4.820640173E0,7.621136808E0
3.066473042E0,-3.505976472E0,4.471696177E0,4.573711087E0,7.294297144E0
3.076476042E0,-3.268891758E0,4.254180340E0,4.152024512E0,6.784026182E0
3.086479042E0,-2.913372568E0,4.073891970E0,3.834499067E0,6.307750677E0
3.096483042E0,-2.392260815E0,3.778596470E0,3.312403521E0,5.565314023E0
3.106486042E0,-1.705704727E0,3.298068779E0,1.619818192E0,4.050987196E0
3.116489042E0,-6.481363732E-1,2.383634418E0,-2.722598386E0,3.676184947E0
3.126492042E0,1.969964083E0,6.563341695E-1,-1.451816752E1,1.466590335E1
3.136496042E0,7.904257933E0,-2.124303387E0,-2.799954886E1,2.917129916E1
3.146499042E0,1.134452106E1,-7.267461650E0,-2.086610948E1,2.483764646E1
